,placeLabel,placeLabelE,heritage,longitude,latitude,UNESCO,image,wikicode,wiki_links,Nbwikis,LgWiki,LgWrdContent,NbPhotos,TotalWords
0,Ãglise Saint-Alexandre-Nevski de Bizerte,Saint Alexander Nevsky Orthodox church in Bizerte,0,9.863555555,37.26758056,0,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89glise%20Saint-Alexandre-Nevski%20de%20Bizerte.jpg,Q3580827,https://ar.wikipedia.org/wiki/%D9%83%D9%86%D9%8A%D8%B3%D8%A9_%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D8%B3_%D8%A3%D9%84%D9%83%D8%B3%D9%86%D8%AF%D8%B1_%D9%86%D9%8A%D9%81%D9%8A%D8%B3%D9%83%D9%8A_%D8%A8%D8%A8%D9%86%D8%B2%D8%B1%D8%AA; https://arz.wikipedia.org/wiki/%D9%83%D9%86%D9%8A%D8%B3%D8%A9_%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D8%B3_%D8%A3%D9%84%D9%83%D8%B3%D9%86%D8%AF%D8%B1_%D9%86%D9%8A%D9%81%D9%8A%D8%B3%D9%83%D9%89_%D8%A8%D8%A8%D9%86%D8%B2%D8%B1%D8%AA; https://commons.wikimedia.org/wiki/Category:Saint_Alexander_Nevsky_Orthodox_church_in_Bizerte; https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Alexandre-Nevski_de_Bizerte; https://pl.wikipedia.org/wiki/Cerkiew_%C5%9Bw._Aleksandra_Newskiego_w_Bizercie; https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%B0_%D0%9D%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_(%D0%91%D0%B8%D0%B7%D0%B5%D1%80%D1%82%D0%B0),6.0,https://ar.wikipedia.org/wiki/%D9%83%D9%86%D9%8A%D8%B3%D8%A9_%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D8%B3_%D8%A3%D9%84%D9%83%D8%B3%D9%86%D8%AF%D8%B1_%D9%86%D9%8A%D9%81%D9%8A%D8%B3%D9%83%D9%8A_%D8%A8%D8%A8%D9%86%D8%B2%D8%B1%D8%AA,116.0,4.0,52795.0
1,Stade du 15-Octobre,Stadium 15 October,0,9.865583,37.278923,0,http://commons.wikimedia.org/wiki/Special:FilePath/Stade%20de%20bizerte.jpg,Q2740479,https://ar.wikipedia.org/wiki/%D9%85%D9%84%D8%B9%D8%A8_15_%D8%A3%D9%83%D8%AA%D9%88%D8%A8%D8%B1; https://ca.wikipedia.org/wiki/Estadi_15_d%27Octubre; https://commons.wikimedia.org/wiki/Category:Stade_15_Octobre; https://de.wikipedia.org/wiki/Stadion_des_15._Oktober; https://en.wikipedia.org/wiki/15_October_Stadium; https://es.wikipedia.org/wiki/Stade_15_Octobre; https://fa.wikipedia.org/wiki/%D9%88%D8%B1%D8%B2%D8%B4%DA%AF%D8%A7%D9%87_%DB%B1%DB%B5_%D8%A7%DA%A9%D8%AA%D8%A8%D8%B1; https://fi.wikipedia.org/wiki/Stade_15_Octobre; https://fr.wikipedia.org/wiki/Stade_du_15-Octobre; https://nl.wikipedia.org/wiki/15_Oktober_Stadion; https://pl.wikipedia.org/wiki/Stadion_15_Pa%C5%BAdziernika; https://pt.wikipedia.org/wiki/Est%C3%A1dio_15_de_Outubro; https://sw.wikipedia.org/wiki/Uwanja_wa_michezo_wa_15_Oktoba,13.0,https://fi.wikipedia.org/wiki/Stade_15_Octobre,85.0,2.0,1277.0
2,Ãglise Sainte-ThÃ©rÃ¨se de l'Enfant JÃ©sus de Ferryville,Saint ThÃ©rÃ¨se of Lisieux Church (Ferryville),0,9.79369444,37.15803056,0,http://commons.wikimedia.org/wiki/Special:FilePath/Eglise%20de%20Ferryville.jpg,Q30518714,https://commons.wikimedia.org/wiki/Category:Saint_Th%C3%A9r%C3%A8se_of_Lisieux_Church_(Ferryville); https://fr.wikipedia.org/wiki/%C3%89glise_Sainte-Th%C3%A9r%C3%A8se-de-l%27Enfant-J%C3%A9sus_de_Ferryville,2.0,https://fr.wikipedia.org/wiki/%C3%89glise_Sainte-Th%C3%A9r%C3%A8se-de-l%27Enfant-J%C3%A9sus_de_Ferryville,1727.0,10.0,3657.0
3,Utique,Utica,0,10.06225833,37.05652778,0,http://commons.wikimedia.org/wiki/Special:FilePath/TUNISIE%20UTIQUE%2005.JPG,Q166523,"https://ar.wikipedia.org/wiki/%D8%A3%D9%88%D8%AA%D9%8A%D9%83; https://arz.wikipedia.org/wiki/%D8%A7%D9%88%D8%AA%D9%8A%D9%83; https://be.wikipedia.org/wiki/%D0%A3%D1%82%D1%8B%D0%BA%D0%B0; https://bg.wikipedia.org/wiki/%D0%A3%D1%82%D0%B8%D0%BA%D0%B0; https://ca.wikipedia.org/wiki/%C3%9Atica; https://cs.wikipedia.org/wiki/Utica; https://cy.wikipedia.org/wiki/Utica,_Tiwnisia; https://da.wikipedia.org/wiki/Utica_(Tunesien); https://de.wikipedia.org/wiki/Utica_(Tunesien); https://el.wikipedia.org/wiki/%CE%99%CF%84%CF%8D%CE%BA%CE%B7; https://en.wikipedia.org/wiki/Utica,_Tunisia; https://es.wikipedia.org/wiki/%C3%9Atica; https://et.wikipedia.org/wiki/Utica; https://eu.wikipedia.org/wiki/Utika; https://fr.wikipedia.org/wiki/Utique; https://fy.wikipedia.org/wiki/Utika_(Tuneezje); https://he.wikipedia.org/wiki/%D7%90%D7%95%D7%98%D7%99%D7%A7%D7%94; https://it.wikipedia.org/wiki/Utica_(citt%C3%A0_antica); https://ja.wikipedia.org/wiki/%E3%82%A6%E3%83%86%E3%82%A3%E3%82%AB; https://la.wikipedia.org/wiki/Utica_(Tunesia); https://nl.wikipedia.org/wiki/Utica_(Tunesi%C3%AB); https://pl.wikipedia.org/wiki/Utyka; https://pt.wikipedia.org/wiki/%C3%9Atica; https://ro.wikipedia.org/wiki/Utica; https://ru.wikipedia.org/wiki/%D0%A3%D1%82%D0%B8%D0%BA%D0%B0; https://sh.wikipedia.org/wiki/Utika; https://sl.wikipedia.org/wiki/Utika; https://sv.wikipedia.org/wiki/Utica,_Tunisien; https://tr.wikipedia.org/wiki/Utica,_Tunus; https://uk.wikipedia.org/wiki/%D0%A3%D1%82%D1%96%D0%BA%D0%B0; https://vi.wikipedia.org/wiki/Utica,_Tunisia; https://zh.wikipedia.org/wiki/%E4%B9%8C%E6%8F%90%E5%8D%A1_(%E7%AA%81%E5%B0%BC%E6%96%AF)",32.0,https://be.wikipedia.org/wiki/%D0%A3%D1%82%D1%8B%D0%BA%D0%B0,304.0,3.0,39297.0
4,Hippone,Hippo Regius,0,7.75,36.8825,0,http://commons.wikimedia.org/wiki/Special:FilePath/Hippo%20Regius%20Algeria.jpg,Q858024,https://ar.wikipedia.org/wiki/%D9%87%D9%8A%D8%A8%D9%88%D9%86_(%D9%85%D8%AF%D9%8A%D9%86%D8%A9); https://be.wikipedia.org/wiki/%D0%93%D1%96%D0%BF%D0%BE%D0%BD; https://ca.wikipedia.org/wiki/Hipona; https://de.wikipedia.org/wiki/Hippo_Regius; https://en.wikipedia.org/wiki/Hippo_Regius; https://eo.wikipedia.org/wiki/Hippo_Regius; https://es.wikipedia.org/wiki/Hipona; https://fa.wikipedia.org/wiki/%D9%87%DB%8C%D9%BE%D9%88_%D8%B1%DA%AF%DB%8C%D9%88%D8%B3; https://fr.wikipedia.org/wiki/Hippone; https://fy.wikipedia.org/wiki/Hippo_Regius; https://hu.wikipedia.org/wiki/Hippo_Regius; https://id.wikipedia.org/wiki/Hippo_Regius; https://it.wikipedia.org/wiki/Ippona; https://ko.wikipedia.org/wiki/%ED%9E%88%ED%8F%AC_%EB%A0%88%EA%B8%B0%EC%9A%B0%EC%8A%A4; https://mg.wikipedia.org/wiki/Hip%C3%B4na; https://nl.wikipedia.org/wiki/Hippo_Regius; https://nn.wikipedia.org/wiki/Hippo_Regius; https://no.wikipedia.org/wiki/Hippo_Regius; https://oc.wikipedia.org/wiki/Ip%C3%B2na; https://pt.wikipedia.org/wiki/Hipona; https://ru.wikipedia.org/wiki/%D0%93%D0%B8%D0%BF%D0%BF%D0%BE%D0%BD; https://sh.wikipedia.org/wiki/Hipon; https://sr.wikipedia.org/wiki/%D0%A5%D0%B8%D0%BF%D0%BE%D0%BD; https://sv.wikipedia.org/wiki/Hippo_Regius; https://tr.wikipedia.org/wiki/Hippo_Regius; https://uk.wikipedia.org/wiki/%D0%93%D1%96%D0%BF%D0%BF%D0%BE%D0%BD_%D0%A6%D0%B0%D1%80%D1%81%D1%8C%D0%BA%D0%B8%D0%B9; https://vi.wikipedia.org/wiki/Hippo_Regius; https://zh.wikipedia.org/wiki/%E5%B8%8C%E6%B3%A2%E5%9F%8E,28.0,https://eo.wikipedia.org/wiki/Hippo_Regius,254.0,4.0,54931.0
5,Ãglise Sainte-FÃ©licitÃ© et Sainte-PerpÃ©tue de Tebourba,Public Library of Tebourba,1,9.843391,36.827597,0,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89glise%20t%C3%A9bourba.JPG,Q29959037,https://commons.wikimedia.org/wiki/Category:Public_Library_of_Tebourba; https://fr.wikipedia.org/wiki/%C3%89glise_Sainte-F%C3%A9licit%C3%A9-et-Sainte-Perp%C3%A9tue_de_Tebourba,2.0,https://fr.wikipedia.org/wiki/%C3%89glise_Sainte-F%C3%A9licit%C3%A9-et-Sainte-Perp%C3%A9tue_de_Tebourba,1776.0,10.0,1776.0
6,Parc Ennahli,Ennahli Park,0,10.1598915,36.88524242,0,http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20nahli%20Tunis.jpg,Q12245250,https://ar.wikipedia.org/wiki/%D9%85%D9%86%D8%AA%D8%B2%D9%87_%D8%A7%D9%84%D9%86%D8%AD%D9%84%D9%8A_(%D8%AA%D9%88%D9%86%D8%B3); https://commons.wikimedia.org/wiki/Category:Nahli_Park; https://fr.wikipedia.org/wiki/Parc_Ennahli,3.0,https://ar.wikipedia.org/wiki/%D9%85%D9%86%D8%AA%D8%B2%D9%87_%D8%A7%D9%84%D9%86%D8%AD%D9%84%D9%8A_(%D8%AA%D9%88%D9%86%D8%B3),67.0,4.0,4292.0
7,Palais des sports d'El Menzah,El Menzah Sports Palace,0,10.1829,36.8361,0,http://commons.wikimedia.org/wiki/Special:FilePath/PalaisSportsElMenzahMai2012.jpg,Q3361138,https://ar.wikipedia.org/wiki/%D9%82%D8%B5%D8%B1_%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9_%D8%A8%D8%A7%D9%84%D9%85%D9%86%D8%B2%D9%87; https://commons.wikimedia.org/wiki/Category:Sports_Palace_of_El_Menzah; https://en.wikipedia.org/wiki/El_Menzah_Sports_Palace; https://es.wikipedia.org/wiki/Palacio_de_Deportes_de_El_Menzah; https://fr.wikipedia.org/wiki/Palais_des_sports_d%27El_Menzah,5.0,https://en.wikipedia.org/wiki/El_Menzah_Sports_Palace,619.0,3.0,49907.0
8,Koubba,Koubba,1,10.170877,36.820908,0,http://commons.wikimedia.org/wiki/Special:FilePath/Kobet%20el%20hawa%20-%20Belveder.JPG,Q26404233,https://ar.wikipedia.org/wiki/%D9%82%D8%A8%D8%A9_%D8%A7%D9%84%D9%87%D9%88%D8%A7%D8%A1; https://commons.wikimedia.org/wiki/Category:Koubba,2.0,https://ar.wikipedia.org/wiki/%D9%82%D8%A8%D8%A9_%D8%A7%D9%84%D9%87%D9%88%D8%A7%D8%A1,78.0,3.0,250.0
9,Ãglise Saint-Michel de Franceville,Saint Michael Church (Franceville),0,10.16681389,36.814525,0,http://commons.wikimedia.org/wiki/Special:FilePath/Egilse%20de%20Franceville.jpg,Q31461917,https://commons.wikimedia.org/wiki/Category:Saint_Michael_Church_(Franceville); https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Michel_de_Franceville,2.0,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Michel_de_Franceville,1448.0,8.0,49288.0
